tree_ID,meas_seq,Site,Col,Row,Rep,Blk,Seedlot,Tree,HT3,Dam3,HT6,Dam6,Comment6,HT10,Dam10,Comment10
25111,387,Kala,52,6,4,14,348,2,39,,67,,,84,,
28782,4058,Kala,2,19,6,1,348,3,39,,49,,,,,
24926,202,Kala,54,55,5,14,348,3,40,,,,,,,
28168,3444,Kala,11,44,2,3,348,4,41,,66,,,,,
28326,3602,Kala,9,66,8,6,348,2,43,,84,,,146,,
25775,1051,Kala,42,58,3,16,348,2,45,,61,,,125,,
27079,2355,Kala,26,34,1,15,348,2,45,,,,,,,
24927,203,Kala,54,54,5,14,348,2,46,,,,,,,
28783,4059,Kala,2,18,6,1,348,2,48,,61,,,84,,
25776,1052,Kala,42,57,3,16,348,1,48,,41,w,,,,
28328,3604,Kala,9,68,8,6,348,4,49,,77,,,150,i,
25110,386,Kala,52,7,4,14,348,3,49,,73,,,,,
28327,3603,Kala,9,67,8,6,348,3,52,,90,,,202,,
27080,2356,Kala,26,33,1,15,348,1,52,,,,,,,
24928,204,Kala,54,53,5,14,348,1,52,,,,,,,
25774,1050,Kala,42,59,3,16,348,3,53,,43,w,,,,
28784,4060,Kala,2,17,6,1,348,1,61,,78,,,139,t,
25112,388,Kala,52,5,4,14,348,1,62,,113,,,,,
28165,3441,Kala,11,41,2,3,348,1,63,,89,k,,,,
26809,2085,Kala,29,17,7,2,348,1,68,,67,w,,,,
26812,2088,Kala,29,20,7,2,348,4,68,,47,w,,,,
26811,2087,Kala,29,19,7,2,348,3,69,,,,,,,
27077,2353,Kala,26,36,1,15,348,4,,,,,,,,
25773,1049,Kala,42,60,3,16,348,4,,,,,,,,
27078,2354,Kala,26,35,1,15,348,3,17,d,,,,,,
26810,2086,Kala,29,18,7,2,348,2,43,t,43,w,,,,
28781,4057,Kala,2,20,6,1,348,4,67,t,107,,,153,,
30959,2151,Mayo,34,26,1,10,348,2,,,,,,,,
30960,2152,Mayo,34,25,1,10,348,1,,,,,,,,
31489,2681,Mayo,42,8,2,4,348,4,,,,,,,,
31490,2682,Mayo,42,7,2,4,348,3,,,,,,,,
31491,2683,Mayo,42,6,2,4,348,2,,,,,,,,
32453,3645,Mayo,57,61,3,11,348,1,,,,,,,,
32454,3646,Mayo,57,62,3,11,348,2,,,,,,,,
32456,3648,Mayo,57,64,3,11,348,4,,,,,,,,
32353,3545,Mayo,56,40,6,1,348,4,,,,,,,,
32354,3546,Mayo,56,39,6,1,348,3,,,,,,,,
32355,3547,Mayo,56,38,6,1,348,2,,,,,,,,
30521,1713,Mayo,27,49,7,12,348,1,,,,,,,,
30522,1714,Mayo,27,50,7,12,348,2,,,,,,,,
30524,1716,Mayo,27,52,7,12,348,4,,,,,,,,
32733,3925,Mayo,62,44,8,4,348,4,,,,,,,,
32735,3927,Mayo,62,42,8,4,348,2,,,,,,,,
32736,3928,Mayo,62,41,8,4,348,1,,,,,,,,
31136,2328,Mayo,37,24,4,12,348,4,4,d,,,,,,
32356,3548,Mayo,56,37,6,1,348,1,4,d,,,,,,
31135,2327,Mayo,37,23,4,12,348,3,5,d,,,,,,
29973,1165,Mayo,19,13,5,14,348,1,5,d,,,,,,
29975,1167,Mayo,19,15,5,14,348,3,5,d,,,,,,
30523,1715,Mayo,27,51,7,12,348,3,5,d,,,,,,
31133,2325,Mayo,37,21,4,12,348,1,6,d,,,,,,
31134,2326,Mayo,37,22,4,12,348,2,6,d,,,,,,
32455,3647,Mayo,57,63,3,11,348,3,7,d,12,d,,12,,
29974,1166,Mayo,19,14,5,14,348,2,8,d,8,d,,17,,
30957,2149,Mayo,34,28,1,10,348,4,8,d,,,,,,
29976,1168,Mayo,19,16,5,14,348,4,9,d,8,d,,8,,
31492,2684,Mayo,42,5,2,4,348,1,9,d,,,,10,ck d,
30958,2150,Mayo,34,27,1,10,348,3,9,d,,,,,,
32734,3926,Mayo,62,43,8,4,348,3,13,d,,,,,,
33563,659,Naku,9,19,1,11,348,3,35,,,,,,,
34019,1115,Naku,14,6,5,12,348,2,39,,57,,,,,
34018,1114,Naku,14,7,5,12,348,3,43,,57,,,,,
33564,660,Naku,9,20,1,11,348,4,50,,75,,,132,,
36228,3324,Naku,43,36,3,8,348,4,50,,85,,,153,,
33561,657,Naku,9,17,1,11,348,1,55,,67,,,116,,
36250,3346,Naku,43,58,2,2,348,2,55,,101,,,184,,
36227,3323,Naku,43,35,3,8,348,3,55,,99,,,,,
36251,3347,Naku,43,59,2,2,348,3,56,,110,,,136,,
34017,1113,Naku,14,8,5,12,348,4,56,,78,,,,,
34020,1116,Naku,14,5,5,12,348,1,59,,70,,,100,w,
33612,708,Naku,9,68,4,6,348,4,59,,87,,,124,,
36952,4048,Naku,55,72,8,3,348,4,60,,115,,,,,
36950,4046,Naku,55,70,8,3,348,2,61,,115,,,,,
33562,658,Naku,9,18,1,11,348,2,62,,89,,,122,,
33609,705,Naku,9,65,4,6,348,1,62,,103,,,157,,
33611,707,Naku,9,67,4,6,348,3,63,,86,,,142,,
36225,3321,Naku,43,33,3,8,348,1,64,,,,,,,
35008,2104,Naku,27,32,6,15,348,4,65,,97,,,,,
33610,706,Naku,9,66,4,6,348,2,66,,96,,,180,,
33276,372,Naku,5,52,7,3,348,4,66,,,,,,,
36249,3345,Naku,43,57,2,2,348,1,69,,119,,,220,,
33275,371,Naku,5,51,7,3,348,3,70,,,,,,,
35007,2103,Naku,27,31,6,15,348,3,71,,102,,,138,,
36951,4047,Naku,55,71,8,3,348,3,71,,143,,,240,,
35005,2101,Naku,27,29,6,15,348,1,72,,,,,,,
35006,2102,Naku,27,30,6,15,348,2,74,,,,,,,
33274,370,Naku,5,50,7,3,348,2,75,,111,,,188,,
33273,369,Naku,5,49,7,3,348,1,111,,,,,,,
36226,3322,Naku,43,34,3,8,348,2,,,,,,,,
36949,4045,Naku,55,69,8,3,348,1,,,,,,,,
